measured_at,run_id,backend,page,trait,cer,problem,structure,backend_status,prompt_sha,render_version,endpoint,served_by,prompt_tokens,completion_tokens,reasoning_tokens,cost
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,06,formula,0.214286,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,07,mixed-language,0.004773,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,08,diagram,0.229167,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,09,nearly-empty,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,10,dense,0.005945,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,11,numbers,0.028986,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,12,special-chars,0.025210,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,13,corrections,0.146018,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-26T03:59:13.959Z,32928324923,openrouter/openai/gpt-4o,14,margin-note,0.048718,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,01,clean-prose,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,02,rushed-prose,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,03,bulleted-list,0.005102,,list:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,04,numbered-list,0.009615,,list:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,05,table,0.030675,,table:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,06,formula,0.023810,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,07,mixed-language,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,08,diagram,0.354167,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,09,nearly-empty,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,10,dense,0.007134,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,11,numbers,0.043478,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,12,special-chars,0.016807,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,13,corrections,0.185841,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/anthropic/claude-sonnet-5,14,margin-note,0.189744,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/google/gemini-2.5-flash,01,clean-prose,0.000000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/google/gemini-2.5-flash,02,rushed-prose,0.024000,,,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/google/gemini-2.5-flash,03,bulleted-list,0.010204,,list:ok,pass,635b0b92a4432be2,31,,,,,,
2026-08-27T14:02:22.137Z,33079740911,openrouter/google/gemini-2.5-flash,04,numbered-list,0.006410,,list:ok,pass,635b0b92a4432be2,31,,,,,,
